iter	Passed	Remaining
1398	253229	108785
1399	253413	108605
1400	253580	108418
1401	253745	108231
1402	254004	108083
1403	254196	107906
1404	254381	107727
1405	254570	107549
1406	254752	107368
1407	254937	107189
1408	255107	107004
1409	255293	106824
1410	255467	106640
1411	255645	106458
1412	255819	106274
1413	255977	106084
1414	256182	105913
1415	256355	105728
1416	256526	105543
1417	256701	105359
1418	256897	105184
1419	257062	104997
1420	257232	104811
1421	257413	104630
1422	257591	104448
1423	257752	104259
1424	257928	104076
1425	258100	103891
1426	258279	103709
1427	258461	103529
1428	258652	103352
1429	258840	103173
1430	259029	102996
1431	259222	102820
1432	259406	102640
1433	259594	102461
1434	259771	102279
1435	259936	102092
1436	260120	101912
1437	260291	101727
1438	260484	101550
1439	260662	101368
1440	260838	101185
1441	261017	101003
1442	261198	100823
1443	261414	100655
1444	261582	100469
1445	261766	100289
1446	261950	100109
1447	262133	99929
1448	262309	99746
1449	262496	99567
1450	262679	99387
1451	262864	99207
1452	263046	99027
1453	263242	98851
1454	263432	98673
1455	263611	98492
1456	263788	98309
1457	263965	98127
1458	264151	97948
1459	264347	97772
1460	264542	97596
1461	264736	97420
1462	264902	97233
1463	265084	97052
1464	265303	96885
1465	265467	96698
1466	265650	96517
1467	265818	96332
1468	266011	96155
1469	266190	95973
1470	266382	95796
1471	266568	95616
1472	266763	95440
1473	266927	95253
1474	267124	95078
1475	267316	94901
1476	267494	94718
1477	267681	94539
1478	267871	94361
1479	268057	94182
1480	268243	94002
1481	268434	93825
1482	268616	93644
1483	268794	93462
1484	268979	93282
1485	269149	93097
1486	269326	92914
1487	269504	92732
1488	269684	92551
1489	269893	92379
1490	270060	92193
1491	270243	92013
1492	270424	91832
1493	270610	91652
1494	270786	91469
1495	270960	91286
1496	271136	91103
1497	271307	90918
1498	271488	90737
1499	271665	90555
1500	271852	90375
1501	272015	90188
1502	272199	90008
1503	272379	89827
1504	272567	89648
1505	272749	89467
1506	272934	89287
1507	273121	89108
1508	273291	88923
1509	273477	88744
1510	273659	88563
1511	273836	88381
1512	274007	88196
1513	274163	88007
1514	274346	87827
1515	274531	87647
1516	274719	87468
1517	274889	87283
1518	275072	87103
1519	275250	86921
1520	275492	86759
1521	275689	86583
1522	275876	86403
1523	276065	86225
1524	276286	86056
1525	276500	85885
1526	276705	85711
1527	276894	85532
1528	277093	85357
1529	277275	85176
1530	277467	84998
1531	277662	84821
1532	277861	84645
1533	278053	84467
1534	278243	84288
1535	278432	84109
1536	278626	83932
1537	278807	83750
1538	278991	83570
1539	279186	83393
1540	279381	83216
1541	279564	83035
1542	279743	82853
1543	279919	82670
1544	280109	82491
1545	280295	82311
1546	280474	82129
1547	280671	81953
1548	280870	81776
1549	281055	81596
1550	281245	81418
1551	281420	81234
1552	281599	81052
1553	281786	80872
1554	281958	80689
1555	282144	80509
1556	282338	80331
1557	282519	80150
1558	282689	79965
1559	282871	79784
1560	283037	79598
1561	283218	79417
1562	283402	79236
1563	283570	79051
1564	283745	78868
1565	283926	78687
1566	284117	78508
1567	284349	78341
1568	284550	78165
1569	284705	77976
1570	284879	77793
1571	285057	77611
1572	285229	77427
1573	285407	77244
1574	285591	77064
1575	285767	76881
1576	285945	76699
1577	286129	76518
1578	286310	76337
1579	286497	76157
1580	286683	75977
1581	286865	75796
1582	287044	75614
1583	287227	75433
1584	287398	75249
1585	287568	75065
1586	287750	74884
1587	287918	74699
1588	288094	74516
1589	288280	74336
1590	288472	74157
1591	288656	73977
1592	288824	73792
1593	289008	73611
1594	289218	73437
1595	289398	73256
1596	289574	73073
1597	289746	72890
1598	289916	72705
1599	290097	72524
1600	290280	72343
1601	290471	72164
1602	290663	71985
1603	290843	71804
1604	291014	71620
1605	291189	71437
1606	291364	71254
1607	291548	71073
1608	291725	70891
1609	291894	70707
1610	292062	70522
1611	292243	70341
1612	292430	70161
1613	292610	69979
1614	292794	69799
1615	292979	69618
1616	293152	69435
1617	293333	69254
1618	293530	69076
1619	293720	68897
1620	293904	68716
1621	294077	68533
1622	294242	68348
1623	294430	68168
1624	294603	67985
1625	294813	67810
1626	294999	67630
1627	295176	67448
1628	295347	67264
1629	295529	67083
1630	295709	66901
1631	295890	66720
1632	296065	66537
1633	296256	66358
1634	296440	66177
1635	296622	65996
1636	296827	65820
1637	297019	65641
1638	297212	65462
1639	297372	65276
1640	297552	65095
1641	297747	64916
1642	297951	64740
1643	298142	64561
1644	298329	64381
1645	298522	64202
1646	298714	64023
1647	298899	63842
1648	299090	63663
1649	299270	63481
1650	299493	63309
1651	299682	63129
1652	299870	62949
1653	300063	62770
1654	300243	62588
1655	300433	62408
1656	300613	62227
1657	300803	62047
1658	300982	61865
